run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-153716,levir_val_13.png,deep_winter,hybrid,0,levir_val_13__deep_winter__hybrid__v0.png,0.8558,0.4383,0.6098,0.125,0.7723,0.5861,False,0.6978,0.661,,
20260706-153716,levir_val_19.png,summer,zero_shot,0,levir_val_19__summer__zero_shot__v0.png,0.9713,0.3528,0.8976,,0.8476,0.8976,False,0.8676,0.66,,
20260706-153716,levir_val_19.png,summer,contextual,0,levir_val_19__summer__contextual__v0.png,0.96,0.3674,0.9706,,0.8415,0.9706,False,0.8931,0.66,,
20260706-153716,levir_val_19.png,summer,positive,0,levir_val_19__summer__positive__v0.png,0.9549,0.3701,0.9809,,0.838,0.9809,False,0.8951,0.661,,
20260706-153716,levir_val_19.png,summer,negative,0,levir_val_19__summer__negative__v0.png,0.9535,0.3686,0.9816,,0.8366,0.9816,False,0.8946,0.661,,
20260706-153716,levir_val_19.png,summer,few_shot,0,levir_val_19__summer__few_shot__v0.png,0.9497,0.3754,0.9887,,0.8348,0.9887,False,0.8964,0.66,,
20260706-153716,levir_val_19.png,summer,cot,0,levir_val_19__summer__cot__v0.png,0.9364,0.3692,0.9869,,0.823,0.9869,False,0.8885,0.661,,
20260706-153716,levir_val_19.png,summer,kontext_guide,0,levir_val_19__summer__kontext_guide__v0.png,0.913,0.3494,0.9877,,0.8003,0.9877,False,0.8752,0.661,,
20260706-153716,levir_val_19.png,summer,hybrid,0,levir_val_19__summer__hybrid__v0.png,0.9555,0.3659,0.9671,,0.8376,0.9671,False,0.8894,0.66,,
20260706-153716,levir_val_19.png,autumn,zero_shot,0,levir_val_19__autumn__zero_shot__v0.png,0.9662,0.358,0.4446,0.0639,0.8446,0.4883,False,0.7021,0.66,,
20260706-153716,levir_val_19.png,autumn,contextual,0,levir_val_19__autumn__contextual__v0.png,0.9589,0.3724,0.4768,0.0666,0.8416,0.5051,False,0.707,0.661,,
20260706-153716,levir_val_19.png,autumn,positive,0,levir_val_19__autumn__positive__v0.png,0.9529,0.3707,0.7384,0.0894,0.8365,0.6416,False,0.7585,0.661,,
20260706-153716,levir_val_19.png,autumn,negative,0,levir_val_19__autumn__negative__v0.png,0.9048,0.3647,0.9722,0.1194,0.7968,0.766,False,0.7844,0.661,,
20260706-153716,levir_val_19.png,autumn,few_shot,0,levir_val_19__autumn__few_shot__v0.png,0.9614,0.3708,0.7205,0.074,0.8433,0.6288,False,0.7575,0.661,,
20260706-153716,levir_val_19.png,autumn,cot,0,levir_val_19__autumn__cot__v0.png,0.9574,0.3686,0.7118,0.0786,0.8397,0.6256,False,0.754,0.663,,
20260706-153716,levir_val_19.png,autumn,kontext_guide,0,levir_val_19__autumn__kontext_guide__v0.png,0.9589,0.3637,0.6081,0.0764,0.8398,0.5732,False,0.7332,0.662,,
20260706-153716,levir_val_19.png,autumn,hybrid,0,levir_val_19__autumn__hybrid__v0.png,0.8965,0.3616,0.9452,0.1072,0.7895,0.7494,False,0.7735,0.663,,
20260706-153716,levir_val_19.png,winter,zero_shot,0,levir_val_19__winter__zero_shot__v0.png,0.7375,0.3591,0.4958,0.2292,0.6618,0.5552,False,0.6192,0.661,,
20260706-153716,levir_val_19.png,winter,contextual,0,levir_val_19__winter__contextual__v0.png,0.8296,0.3618,0.484,0.2211,0.736,0.5473,False,0.6605,0.662,,
20260706-153716,levir_val_19.png,winter,positive,0,levir_val_19__winter__positive__v0.png,0.8073,0.3593,0.4249,0.1951,0.7177,0.5112,False,0.6351,0.663,,
20260706-153716,levir_val_19.png,winter,negative,0,levir_val_19__winter__negative__v0.png,0.7759,0.341,0.3901,0.1931,0.6889,0.4933,False,0.6107,0.663,,
20260706-153716,levir_val_19.png,winter,few_shot,0,levir_val_19__winter__few_shot__v0.png,0.9605,0.3719,0.0137,-0.0544,0.8428,0.2432,False,0.603,0.662,,
20260706-153716,levir_val_19.png,winter,cot,0,levir_val_19__winter__cot__v0.png,0.8256,0.3612,0.4411,0.1947,0.7327,0.5192,False,0.6473,0.662,,
20260706-153716,levir_val_19.png,winter,kontext_guide,0,levir_val_19__winter__kontext_guide__v0.png,0.7979,0.3505,0.3481,0.1575,0.7084,0.4634,False,0.6104,0.661,,
20260706-153716,levir_val_19.png,winter,hybrid,0,levir_val_19__winter__hybrid__v0.png,0.8041,0.3509,0.481,0.2143,0.7134,0.5441,False,0.6457,0.663,,
20260706-153716,levir_val_19.png,deep_winter,zero_shot,0,levir_val_19__deep_winter__zero_shot__v0.png,0.8487,0.3669,0.5068,0.2017,0.7524,0.5538,False,0.673,0.662,,
20260706-153716,levir_val_19.png,deep_winter,contextual,0,levir_val_19__deep_winter__contextual__v0.png,0.8112,0.3489,0.5673,0.2041,0.7187,0.5847,False,0.6651,0.662,,
20260706-153716,levir_val_19.png,deep_winter,positive,0,levir_val_19__deep_winter__positive__v0.png,0.7859,0.3431,0.675,0.1953,0.6973,0.6363,False,0.6729,0.662,,
20260706-153716,levir_val_19.png,deep_winter,negative,0,levir_val_19__deep_winter__negative__v0.png,0.7478,0.309,0.7361,0.1805,0.66,0.6632,False,0.6613,0.662,,
20260706-153716,levir_val_19.png,deep_winter,few_shot,0,levir_val_19__deep_winter__few_shot__v0.png,0.8602,0.3692,0.455,0.2433,0.762,0.5383,False,0.6725,0.662,,
20260706-153716,levir_val_19.png,deep_winter,cot,0,levir_val_19__deep_winter__cot__v0.png,0.8179,0.3463,0.6031,0.1958,0.7236,0.6005,False,0.6744,0.663,,
20260706-153716,levir_val_19.png,deep_winter,kontext_guide,0,levir_val_19__deep_winter__kontext_guide__v0.png,0.757,0.2529,0.7415,0.1683,0.6562,0.6628,False,0.6588,0.662,,
20260706-153716,levir_val_19.png,deep_winter,hybrid,0,levir_val_19__deep_winter__hybrid__v0.png,0.7899,0.3418,0.5265,0.217,0.7003,0.5675,False,0.6472,0.663,,
20260706-153716,levir_val_25.png,summer,zero_shot,0,levir_val_25__summer__zero_shot__v0.png,0.9869,0.6664,0.9438,,0.9228,0.9438,False,0.9312,0.662,,
20260706-153716,levir_val_25.png,summer,contextual,0,levir_val_25__summer__contextual__v0.png,0.9532,0.671,0.986,,0.8968,0.986,False,0.9325,0.662,,
20260706-153716,levir_val_25.png,summer,positive,0,levir_val_25__summer__positive__v0.png,0.949,0.6678,0.9876,,0.8928,0.9876,False,0.9307,0.663,,
20260706-153716,levir_val_25.png,summer,negative,0,levir_val_25__summer__negative__v0.png,0.9368,0.6615,0.9861,,0.8817,0.9861,False,0.9235,0.661,,
20260706-153716,levir_val_25.png,summer,few_shot,0,levir_val_25__summer__few_shot__v0.png,0.9579,0.6526,0.9858,,0.8969,0.9858,False,0.9324,0.661,,
20260706-153716,levir_val_25.png,summer,cot,0,levir_val_25__summer__cot__v0.png,0.9463,0.6668,0.9887,,0.8904,0.9887,False,0.9297,0.66,,
20260706-153716,levir_val_25.png,summer,kontext_guide,0,levir_val_25__summer__kontext_guide__v0.png,0.8842,0.6208,0.9947,,0.8315,0.9947,False,0.8968,0.66,,
20260706-153716,levir_val_25.png,summer,hybrid,0,levir_val_25__summer__hybrid__v0.png,0.9441,0.6435,0.9845,,0.884,0.9845,False,0.9242,0.661,,
