run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260707-003754,levir_val_13.png,deep_winter,kontext_guide,0,levir_val_13__deep_winter__kontext_guide__v0.png,0.5619,0.2217,0.8756,0.2625,0.4939,0.7534,False,0.5977,18.121,,
20260707-003754,levir_val_13.png,deep_winter,contextual,0,levir_val_13__deep_winter__contextual__v0.png,0.6626,0.1972,0.9378,0.2243,0.5696,0.775,False,0.6517,18.117,,
20260707-003754,levir_val_19.png,summer,kontext_guide,0,levir_val_19__summer__kontext_guide__v0.png,0.974,0.6718,0.9691,,0.9136,0.9691,False,0.9358,18.115,,
20260707-003754,levir_val_19.png,summer,contextual,0,levir_val_19__summer__contextual__v0.png,0.9612,0.6489,0.899,,0.8987,0.899,False,0.8988,18.115,,
20260707-003754,levir_val_19.png,autumn,kontext_guide,0,levir_val_19__autumn__kontext_guide__v0.png,0.9711,0.6512,0.973,0.1748,0.9072,0.7802,False,0.8564,18.119,,
20260707-003754,levir_val_19.png,autumn,contextual,0,levir_val_19__autumn__contextual__v0.png,0.5831,0.0223,0.9444,0.0717,0.4709,0.7401,False,0.5786,18.117,,
20260707-003754,levir_val_19.png,winter,kontext_guide,0,levir_val_19__winter__kontext_guide__v0.png,0.6813,0.2656,0.1578,0.1559,0.5982,0.3679,False,0.5061,18.12,,
20260707-003754,levir_val_19.png,winter,contextual,0,levir_val_19__winter__contextual__v0.png,0.6928,0.0768,0.1235,0.1257,0.5696,0.3431,False,0.479,18.116,,
20260707-003754,levir_val_19.png,deep_winter,kontext_guide,0,levir_val_19__deep_winter__kontext_guide__v0.png,0.5926,0.0491,0.8993,0.2281,0.4839,0.7567,False,0.593,18.12,,
20260707-003754,levir_val_19.png,deep_winter,contextual,0,levir_val_19__deep_winter__contextual__v0.png,0.6204,0.016,0.9597,0.1921,0.4995,0.7779,False,0.6109,18.118,,
20260707-003754,levir_val_25.png,summer,kontext_guide,0,levir_val_25__summer__kontext_guide__v0.png,0.9786,0.8384,0.9455,,0.9506,0.9455,False,0.9485,18.118,,
20260707-003754,levir_val_25.png,summer,contextual,0,levir_val_25__summer__contextual__v0.png,0.9871,0.8633,0.9464,,0.9624,0.9464,False,0.956,18.121,,
20260707-003754,levir_val_25.png,autumn,kontext_guide,0,levir_val_25__autumn__kontext_guide__v0.png,0.946,0.5534,0.9049,0.1707,0.8675,0.7451,False,0.8186,18.116,,
20260707-003754,levir_val_25.png,autumn,contextual,0,levir_val_25__autumn__contextual__v0.png,0.9435,0.4363,0.9911,0.1971,0.842,0.7948,False,0.8232,18.12,,
20260707-003754,levir_val_25.png,winter,kontext_guide,0,levir_val_25__winter__kontext_guide__v0.png,0.937,0.5632,0.718,0.2105,0.8622,0.6616,False,0.782,18.116,,
20260707-003754,levir_val_25.png,winter,contextual,0,levir_val_25__winter__contextual__v0.png,0.9534,0.4288,0.4625,0.0721,0.8485,0.4993,False,0.7088,18.119,,
20260707-003754,levir_val_25.png,deep_winter,kontext_guide,0,levir_val_25__deep_winter__kontext_guide__v0.png,0.8491,0.4632,0.5772,0.3026,0.772,0.6143,False,0.7089,18.117,,
20260707-003754,levir_val_25.png,deep_winter,contextual,0,levir_val_25__deep_winter__contextual__v0.png,0.8341,0.4413,0.6368,0.267,0.7555,0.6352,False,0.7074,18.12,,
20260707-003754,levir_val_31.png,summer,kontext_guide,0,levir_val_31__summer__kontext_guide__v0.png,0.9326,0.7552,0.9726,,0.8971,0.9726,False,0.9273,18.117,,
20260707-003754,levir_val_31.png,summer,contextual,0,levir_val_31__summer__contextual__v0.png,0.9545,0.735,0.9673,,0.9106,0.9673,False,0.9333,18.112,,
20260707-003754,levir_val_31.png,autumn,kontext_guide,0,levir_val_31__autumn__kontext_guide__v0.png,0.85,0.654,0.9986,0.2249,0.8108,0.8055,False,0.8087,18.117,,
20260707-003754,levir_val_31.png,autumn,contextual,0,levir_val_31__autumn__contextual__v0.png,0.8506,0.6101,0.9986,0.2144,0.8025,0.8029,False,0.8027,18.115,,
20260707-003754,levir_val_31.png,winter,kontext_guide,0,levir_val_31__winter__kontext_guide__v0.png,0.9375,0.6202,0.3929,0.2435,0.8741,0.5073,False,0.7274,18.115,,
20260707-003754,levir_val_31.png,winter,contextual,0,levir_val_31__winter__contextual__v0.png,0.9336,0.5658,0.609,0.2415,0.86,0.6149,False,0.762,18.111,,
20260707-003754,levir_val_31.png,deep_winter,kontext_guide,0,levir_val_31__deep_winter__kontext_guide__v0.png,0.7428,0.3946,0.8991,0.2567,0.6732,0.7637,False,0.7094,18.115,,
20260707-003754,levir_val_31.png,deep_winter,contextual,0,levir_val_31__deep_winter__contextual__v0.png,0.7966,0.3966,0.8336,0.2813,0.7166,0.7371,False,0.7248,18.116,,
20260707-003754,levir_val_37.png,summer,kontext_guide,0,levir_val_37__summer__kontext_guide__v0.png,0.9897,0.7714,0.9383,,0.9461,0.9383,False,0.9429,18.111,,
20260707-003754,levir_val_37.png,summer,contextual,0,levir_val_37__summer__contextual__v0.png,0.9942,0.7763,0.9371,,0.9506,0.9371,False,0.9452,18.114,,
